Page,Lat_deg,Long_deg,Date_UT,Age_hrs,Lag_min,ARCV_deg,ARCL_deg,DAZ_deg,Means,raw_ocr_line
9,21.42,39.83,2014/12/23,37.15,98,20.37,20.63,03.35,N,21°42 39°83 2014/12/23 37°15 98 20°37 20°63 03°35 N
9,24.72,46.67,2014/12/23,36.58,99,19.83,20.33,04.60,N,24°72 46°67 2014/12/23 36°58 99 19°83 20°33 04:60 N
9,26.35,43.95,2014/12/23,36.70,IOI,19.73,20.40,05.31,N,26°35 43°95 2014/12/23 36°70 IOI 19°73 20°40 05°31 N
9,27.52,41.70,2014/12/23,36.81,IOI,19.66,20.47,05.82,N,27°52 41°70 2014/12/23 36°81 IOI 19°66 20°47 05°82 N
9,28.40,36.73,2014/12/23,37.11,103,19.70,20.64,06.27,N,28°40 36°73 2014/12/23 37°11 103 19°70 20°64 06°27 N
9,25.25,45.25,2014/12/23,36.65,100,19.82,20.37,04.84,N,25°25 45°25 2014/12/23 36°65 100 19°82 20°37 04°84 N
9,25.62,45.62,2014/12/23,36.62,100,19.76,20.36,04.98,N,25°62 45°62 2014/12/23 36°62 I0O 19°76 20°36 04°98 N
9,26.37,49.82,2014/12/23,36.31,100,19.53,20.19,05.20,N,26°37 49°82 2014/12/23 36°31 100 19°53 20°19 05°20 N
9,21.42,39.83,2015/01/21,25.83,68,14.74,14.83,01.61,N,21°42 39°83 2015/01/21 25°83 68 14°74 14°83 OI°61 N
9,24.72,46.67,2015/01/21,25.28,69,14.50,14.52,00.72,N,24°72 46°67 2015/01/21 25°28 69 14°50 14°52 00:72 N
9,26.35,43.95,2015/01/21,25.41,71,14.59,14.59,00.21,N,26°35 43°95 2015/01/21 25°41 71 14°59 14°59 00°21 N
9,27.52,41.70,2015/01/21,25.52,72,14.65,14.65,00.16,N,27°52 41°70 2015/01/21 25°52 72 14°65 14°65 00°16 N
9,28.40,36.73,2015/01/21,25.83,73,14.82,14.83,00.48,N,28-40 36°73 2015/01/21 25°83 73 14°82 14°83 00°48 N
9,25.25,45.25,2015/01/21,25.36,70,14.55,14.56,00.55,N,25°25 45°25 2015/01/21 25°36 70 14°55 14°56 00°55 N
9,25.62,45.62,2015/01/21,25.32,70,14.53,14.54,00.44,N,25°62 45°62 2015/01/21 25°32 70 14°53 14°54 00°44 N
9,26.37,49.82,2015/01/21,25.02,70,14.37,14.37,00.28,N,26°37 49°82 2015/01/21 25°02 70 14°37 14°37 00:28 N
9,28.40,36.73,2015/02/19,15.65,41,08.73,08.82,01.30,T,28°40 36°73 2015/02/19 15°65 4I 08°73 08°82 01°30 T
9,21.42,39.83,2015/03/21,29.93,74,16.70,16.70,00.16,N,21°42 39°83 2015/03/21 29°93 74 16°70 16°70 00-16 N
9,27.52,41.70,2015/03/21,29.81,77,16.51,16.52,00.57,N,27°52 41°70 2015/03/21 29°81 77 16°51 16°52 00°57 N
9,28.40,36.73,2015/03/21,30.14,79,16.67,16.69,00.83,N,28°40 36°73 2015/03/21 30°14 79 16°67 16°69 00°83 N
9,21.42,39.83,2015/05/19,35.67,79,17.11,19.05,08.51,N,21°42 39°83 2015/05/19 35°67 79 I7‘II 19°05 08°51 N
9,24.39,39.63,2015/05/19,35.77,79,16.66,19.12,09.53,N,24°39 39°63 2015/05/19 35°77 79 16°66 19°12 09°53 N
9,24.72,46.67,2015/05/19,35.31,77,16.37,18.89,09.56,N,24°72 46°67 2015/05/19 35°31 77 16°37 18°89 09°56 N
9,26.35,43.95,2015/05/19,35.54,78,16.18,19.02,10.14,N,26°35 43°95 2015/05/19 35°54 78 16°18 19°02 10°14 N
9,25.25,45.25,2015/05/19,35.42,78,16.33,18.95,09.75,N,25°25 45°25 2015/05/19 35°42 78 16°33 18°95 09°75 N
9,25.62,45.62,2015/05/19,35.41,77,16.25,18.94,09.87,N,25°62 45°62 2015/05/19 35°41 77 16°25 18°94 09°87 N
9,26.37,49.82,2015/05/19,35.15,77,15.99,18.82,10.07,N,26°37 49°82 2015/05/19 35°15 77 15°99 18°82 10°07 N
9,24.39,39.63,2015/06/17,26.11,42,08.99,13.72,10.41,T,24°39 39°63 2015/06/17 26°11 42 08:99 13°72 10°41 T
9,26.35,43.95,2015/06/17,25.89,41,08.49,13.64,10.72,T,26°35 43°95 2015/06/17 25°89 4I 08°49 13°64 10°72 T
9,27.52,41.70,2015/06/17,26.09,40,08.32,13.75,10.98,T,27°52 41°70 2015/06/17 26°09 40 08°32 13°75 10°98 T
9,21.42,39.83,2015/09/14,32.73,44,09.95,10.19,02.23,oT,21°42 39°83 2015/09/14 32°73 44 09°95 10-19 02°23 oT
9,26.37,49.82,2015/09/14,32.09,40,08.83,09.16,02.43,T,26°37 49°82 2015/09/14 32°09 40 08°83 09°16 02°43 T
9,21.42,39.83,2015/11/13,44.87,gI,18.97,21.05,09.31,N,21°42 39°83 2015/11/13 44°87 gI 18°97 21°05 09°31 N
9,24.72,46.67,2015/11/13,44.33,90,18.16,20.82,10.35,N,24°72 46°67 2015/11/13 44°33 90 18°16 20°82 10°35 N
9,26.35,43.95,2015/11/13,44.47,gI,17.89,20.90,10.97,N,26°35 43°95 2015/11/13 44°47 gI 17°89 20°90 1097 N
9,27.52,41.70,2015/11/13,44.59,90,17.70,20.96,11.42,N,27°52 41°70 2015/11/13 44°59 90 17°70 20°96 11-42 N
9,28.40,36.73,2015/11/13,44.90,gI,17.62,21.11,11.83,N,28°40 36°73 2015/11/13 44°90 gI 17°62 21°II 11°83 N
9,25.62,45.62,2015/11/13,44.38,90,18-01,20.85,10.68,N,25°62 45°62 2015/11/13 44°38 90 18-‘OI 20°85 10°68 N
9,26.37,49.82,2015/11/13,44.08,90,17.75,20.71,10.85,N,26°37 49°82 2015/11/13 44:08 90 17°75 20°71 10°85 N
